recipe_id,recipe_name,recipeSummary,num_of_serving,serving_size,item_unit,recipe_weight,recipe_type_id,recipe_notes,prepare_time,description,total_carbohydrate,total_protein,total_energy,total_lipid_fat,recipe_image,food_type,micronutrient
RP100000,Vegan Lentil Soup,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,8,130,gm,840,198,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,25 min,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,6.52,38.23,1458,5.69,https://placekitten.com/129/512,recipe,
RP100001,Spaghetti Bolognese,Hearty vegan lentil soup packed with vegetables and aromatic spices.,5,150,gm,160,70,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",25 min,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",116.88,76.41,392,42.42,https://placekitten.com/956/47,recipe,
RP100002,Beef Tacos,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",9,110,ml,220,167,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,5 min,Hearty vegan lentil soup packed with vegetables and aromatic spices.,248.96,31.59,595,36.28,https://placekitten.com/700/104,recipe,
RP100003,Mushroom Risotto,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",6,220,gm,840,187,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",25 min,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,271.59,5.02,911,4.98,https://placekitten.com/143/77,recipe,
RP100004,Spaghetti Bolognese,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",3,220,ml,1000,31,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,10 min,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",92.84,40.96,896,39.35,https://dummyimage.com/534x7,recipe,
RP100005,Margherita Pizza,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",8,130,gm,220,197,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,15 min,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",65.95,29.09,1129,33.79,https://placekitten.com/393/71,recipe,
RP100006,Vegan Lentil Soup,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,4,110,gm,220,19,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,25 min,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",207.17,29.18,352,6.07,https://dummyimage.com/503x6,recipe,
RP100007,Chicken Caesar Salad,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",9,110,ml,1000,42,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,5 min,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",126.14,11.71,1328,43.81,https://placekitten.com/752/630,recipe,
RP100008,Vegetarian Stir-Fry,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,1,160,gm,220,106,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",5 min,Hearty vegan lentil soup packed with vegetables and aromatic spices.,138.19,71.23,390,29.2,https://dummyimage.com/384x378,recipe,
RP100009,Vegan Lentil Soup,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",1,110,gm,640,13,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,30 min,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,75.44,72.85,1431,10.21,https://picsum.photos/865/105,recipe,
